sample	ds	cor	FP1	FP2	dep
SS6004469	0.15	0.9021388497864092	0.0673758865248227	0.0	5.29839
SS6004469	0.3	0.9737611288809144	0.0145666423889293	0.0070405438213158	10.5967
SS6004469	1.0	0.9999999999999885	0.0	0.0	35.3215
SS6004472	0.15	0.9106376836832292	0.0544387143684274	0.0093311968976799	6.39473
SS6004472	0.3	0.9769655195889656	0.0219781600673544	0.00275198230689	12.7881
SS6004472	1.0	1.0	0.0	0.0	42.6225
USR1	0.1	0.3355871399014078	0.0033222591362126	0.0	1.80333
USR1	0.2	0.7583004175604414	0.0293390982087708	0.0	3.6071
USR1	0.3	0.8820911796439689	0.0595799399914273	0.0105015002143163	5.41066
USR1	0.5	0.9187260429180548	0.1005061460592914	0.0229573391178597	9.01818
USR1	1.0	1.0	0.0	0.0	18.0359
Yana1	0.15	0.7844442528062298	0.1854480922803904	0.0	4.0499
Yana1	0.2	0.909497730188429	0.0397675130009177	0.0	5.39999
Yana1	0.25	0.958550711562422	0.0394156560088202	0.0	6.75028
Yana1	0.5	0.9843517683248932	0.0025366403607666	0.0	13.5003
Yana1	1.0	0.9999999999999812	0.0	0.0	27.0005
