sample	ds	cor	FP1	FP2	dep
SS6004469	0.15	0.9326216915655576	0.046781287485006	0.0195921631347461	5.29839
SS6004469	0.3	0.9739284396301456	0.0179057999221486	0.0	10.5967
SS6004469	1.0	1.0	0.0	0.0	35.3215
SS6004472	0.15	0.9414294028285822	0.0334141904184354	0.0068829593693147	6.39473
SS6004472	0.3	0.978445860353479	0.0119030124908155	0.0027332843497428	12.7881
SS6004472	1.0	0.9999999999999928	0.0	0.0	42.6225
USR1	0.05	0.6696448478221114	0.0927536231884058	0.0246376811594202	0.901761
USR1	0.1	0.8446312527198222	0.0860314523589269	0.0106382978723404	1.80333
USR1	0.2	0.9151616883051784	0.0528988573846804	0.0160812526449428	3.6071
USR1	0.3	0.9386031832459978	0.0468622656886715	0.0215973920130399	5.41066
USR1	0.5	0.9719583378659752	0.0118464052287581	0.0061274509803921	9.01818
USR1	1.0	1.0	0.0	0.0	18.0359
Yana1	0.0375	0.6291385235871749	0.0603448275862069	0.0362068965517241	1.01263
Yana1	0.075	0.7523094087871516	0.0613718411552346	0.0120336943441636	2.02508
Yana1	0.15	0.841803093482757	0.1152860802732707	0.0418445772843723	4.0499
Yana1	0.2	0.9198683285843668	0.0703001579778831	0.0086887835703001	5.39999
Yana1	0.25	0.9329051384717498	0.0879526977087952	0.0236511456023651	6.75028
Yana1	0.5	0.9848879488698664	0.013953488372093	0.0	13.5003
Yana1	1.0	1.0	0.0	0.0	27.0005
